gene	cluster
MA_6787326g0010	Cluster1
MA_10431176g0010	Cluster1
MA_50745g0010	Cluster1
MA_43044g0010	Cluster1
MA_5079g0010	Cluster1
MA_864811g0010	Cluster1
MA_100606g0010	Cluster1
MA_10433791g0010	Cluster1
MA_10433428g0010	Cluster1
MA_29137g0010	Cluster1
MA_10431611g0010	Cluster1
MA_15391g0010	Cluster1
MA_131015g0010	Cluster1
MA_5147g0010	Cluster1
MA_28222g0010	Cluster1
MA_118377g0010	Cluster1
MA_10435451g0010	Cluster1
MA_10436493g0010	Cluster1
MA_402393g0010	Cluster1
MA_10430956g0010	Cluster1
MA_48769g0010	Cluster1
MA_10434906g0020	Cluster1
MA_224722g0010	Cluster1
MA_10427407g0010	Cluster1
MA_10437078g0010	Cluster1
MA_61997g0010	Cluster1
MA_10433732g0010	Cluster1
MA_58990g0010	Cluster1
MA_10430884g0010	Cluster1
MA_72741g0020	Cluster1
MA_178646g0010	Cluster1
MA_87899g0010	Cluster1
MA_6966038g0010	Cluster1
MA_10433510g0010	Cluster1
MA_49899g0010	Cluster1
MA_77549g0010	Cluster1
MA_3300888g0010	Cluster1
MA_4962g0010	Cluster1
MA_89558g0010	Cluster1
MA_10432581g0020	Cluster1
MA_907632g0010	Cluster1
MA_18863g0030	Cluster1
MA_10426762g0010	Cluster1
MA_2430g0010	Cluster1
MA_2474564g0010	Cluster1
MA_176924g0010	Cluster1
MA_5904g0010	Cluster1
MA_10428222g0010	Cluster1
MA_506872g0010	Cluster1
MA_115536g0010	Cluster1
MA_8151012g0010	Cluster1
MA_10436230g0010	Cluster1
MA_83623g0010	Cluster1
MA_1796g0010	Cluster1
MA_42406g0010	Cluster1
MA_17656g0010	Cluster1
MA_10437122g0020	Cluster1
MA_131013g0010	Cluster1
MA_11224g0010	Cluster1
MA_10426951g0010	Cluster1
MA_123810g0010	Cluster1
MA_18417g0010	Cluster1
MA_10429565g0010	Cluster1
MA_34351g0010	Cluster1
MA_500327g0010	Cluster1
MA_135835g0010	Cluster1
MA_24841g0010	Cluster1
MA_10081221g0010	Cluster1
MA_1577g0010	Cluster1
MA_315975g0010	Cluster1
MA_175298g0010	Cluster1
MA_10432856g0030	Cluster1
MA_58143g0010	Cluster1
MA_5069534g0010	Cluster1
MA_10435949g0010	Cluster1
